Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 1100,Introduction to Asian American Studies,4,Stdnt Opt,Spring,,,,(CA-AS),,,"This course introduces students to historical and contemporary issues and research methods in Asian American studies by examining the intersections of theory, activism and cultural production. We will attend to a set of key questions: How does the racial formation of ""Asian American"" emerge from and produce overlaps and tensions between theory and practice? What are the conceptual and geographical reaches of the term ""Asian American,"" particularly as it pertains to Asian North American and Pacific Islander studies, and their critiques of settler colonialism and imperialism? What coalitions between Asian Americans and other marginalized groups have been and continue to be forged? The course will examine these questions by thinking about issues of gender, sexuality, nationality, ability and class"
AAS 2620,Introduction to Asian American Literature,4,Stdnt Opt,Spring,,,"AMST 2620, ENGL 2620",(LA-AS),,,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities"
AAS 3015,Cyborg Writing: Diasporic Literary Media,4,Stdnt Opt,Spring,,,"ENGL 3915, FGSS 3015",(CA-AS),,,"This course examines the relationships between diasporic/transnational experiences and emerging forms, practices and technologies of literary production. We will analyze literary media, such as interactive graphic novels, text-based web art, multimedia poetry, unconventional novels and blogs in order to study Asian racial formation and cultural production. In particular, we will discuss the political act of writing and reading by considering feminist ""cyborg writing""—a term coined by Donna Haraway—and thinking about gender, race, sexuality, labor and migration. "
AAS 3030,Asians in the Americas: A Comparative Perspective,4,Stdnt Opt,Spring,,,"AMST 3703, ANTHR 3703, ANTHR 6703",(CA-AS),(HB),,"The common perception of ethnicity is that it is a ""natural"" and an inevitable consequence of cultural difference. ""Asians"" overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the ""Asians?"" On what basis can we label ""Asians"" an ethnic group? Although there is a significant Asian presence in the Caribbean, the category ""Asian"" itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,,,," HADM 1810 and ILRID 1700. In addition, due to an overlap in content, students will not receive credit for both AEM 1200, and AEM 2200, unless AEM 1200 was taken over the summer and before the student matriculated","Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1240,Rose Scholars Program,1,S/U NoAud,"Fall, spring",,,,,,,"The Rose Scholars program in an interdisciplinary course targeted at residents of Flora Rose House, but open to all. The program requires weekly participation in one of about five guided trips, workshops, discussions, lectures, and performances in social sciences, natural sciences, arts, humanities, and other fields. Participants reflect on their experiences with weekly digital media postings. The program is designed to introduce participants to the breadth of intellectual resources and activities on the Cornell campus and in the nearby community"
AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,3,Stdnt Opt,"Spring, summer",MATH 1106 or MATH 1110 or equivalent,,,(SBA-AG),,AEM 2500. Students who have already taken Introductory Microeconomics should enroll in AEM 2500,"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources"
AEM 2000,Contemporary Controversies in the Global Economy,3,Stdnt Opt,Spring,ECON 1110. Recommended prerequisite: ECON 1120,,,,,,"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyres and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, winter, spring, summer",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
