Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 1100,Introduction to Asian American Studies,3,Stdnt Opt,Spring,,,,(CA-AS),,,"This course examines the historical and contemporary issues of Asian Americans from the 1960s Civil Rights Era to the current moment of what has been termed the Post-Racial Era of the 21st century. We will analyze major themes such as race and class relations, gender and the family, immigration and globalization, religion and community activism. In the first half of this course, we will learn fundamental concepts and ideas by examining major events, including the Asian American Movement, the murder of Vincent Chin, and the LA Uprisings. In the second half of this course, we will examine how race and gender relations change alongside contemporary moments of globalization and the economy through a variety of topics including interracial marriages, refugees and welfare, the Tiger Mother, and affirmative action"
AAS 2100,South Asian Diaspora,4,Stdnt Opt,Spring,,,ANTHR 2410,(CA-AS),(GHB),,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?"
AAS 2620,Introduction to Asian American Literature,4,Stdnt Opt,Spring,,,"AMST 2620, ENGL 2620",(LA-AS),,,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities"
AAS 2800,Cultural Psychology,3,GradeNoAud,,,,HD 2800,,,,"This course focuses on the cutting-edge research from the recently emerged, exciting field of cultural psychology. We discuss major theories and findings that integrate cultural perspectives into psychology, and consider methodological issues unique for studying the role of culture in psychological processes and functioning. Drawing on recent work in social psychology, developmental psychology, cognitive psychology, neuroscience, and cultural anthropology, we consicer a variety of topics (e.g., the self, motivation, morality, emotion, cognition, psychopathology, interpersonal relationships) from cultural perspectives"
AAS 3515,The Asian American Middle Class,4,Graded,,,,"AMST 3520, HIST 3515",,,,No description available
AAS 4080,Seminar in Dance Studies,4,Stdnt Opt,,,,"AMST 4080, LSP 4080, PMA 4080, VISST 4580",,,,"This seminar format course surveys the particular topic — choreography — with special attention to theories and practices of race and anti-racism. It introduces dance-based critical thinking, critical viewing, and research writing through written texts, recorded music and embodied performances mostly located in North America. Canonical and emergent dance research texts serve as principle lenses through which seminar discussions, presentations, and workshops, and writing will emerge. This specialized course takes students through a broad yet interconnected range of themes including racial formation and choreography theory, whiteness, Black dancing bodies, Latinidad, choreographing Asian America, and indigenous dance. Throughout the course students engage in interdisciplinary discussions on the racialized body, close readings of dance texts, and analyses of performances. Students will then be challenged to demonstrate their own original analyses through in-class activities, discussion, and a research paper"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,No description available
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1260,Business Inclusion and Diversity Skills,2,Stdnt Opt,Spring,,,,,,,"This course will focus on academic achievement, emotional intelligence skills, identity awareness, global-business practices, cross-cultural communication and professional development. Strength Finders 2.0 will be used throughout the class as a building block for progress. Speakers from a variety of industries share their paths to success. It will have one joint lecture, and breakout sections stratified by self-selected student affiliations"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,Graded,"Fall, spring",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
