Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 1100,Introduction to Asian American Studies,2,Stdnt Opt,Spring,,,AAS 1100,(CA-AS if taken for 4 credits),,,"This course examines the historical and contemporary issues of Asian Americans from the 1960s Civil Rights Era to the current moment of what has been termed the Post-Racial Era of the 21st century. We will analyze major themes such as race and class relations, gender and the family, immigration and globalization, religion and community activism. In the first half of this course, we will learn fundamental concepts and ideas by examining major events, including the Asian American Movement, the murder of Vincent Chin, and the LA Uprisings. In the second half of this course, we will examine how race and gender relations change alongside contemporary moments of globalization and the economy through a variety of topics including interracial marriages, refugees and welfare, the Tiger Mother, and affirmative action"
AAS 2800,Cultural Psychology,3,GradeNoAud,Spring,"PSYCH 1101, or HD 1150, or equivalent",,HD 2800,(SBA-AS),,,"This course focuses on the cutting-edge research from the recently emerged, exciting field of cultural psychology. We discuss major theories and findings that integrate cultural perspectives into psychology, and consider methodological issues unique for studying the role of culture in psychological processes and functioning. Drawing on recent work in social psychology, developmental psychology, cognitive psychology, neuroscience, and cultural anthropology, we consicer a variety of topics (e.g., the self, motivation, morality, emotion, cognition, psychopathology, interpersonal relationships) from cultural perspectives"
AAS 2910,It's All Chinese to Me,4,Stdnt Opt,Spring,,,"AMST 2910, ENGL 2910",(CA-AS),,,"In her memoir Woman Warrior, Maxine Hong Kingston identified a conundrum familiar to many US-born children of Chinese immigrants when she asked: ""What is Chinese tradition and what is the movies?"" What is ""Chinese tradition""? Does it mean the same thing to people in China, Taiwan, Hong Kong, and Singapore, or to Chinese diasporic communities in North America?  Does ""Chineseness"" change across time and space? While there will be occasion to discuss what ""Chineseness"" means in different Asian contexts, this course will focus primarily on how ideas of ""China"" and ""Chineseness"" have been historically constructed by, for, and in the West—particularly in the US. Course materials include readings on the concept of ""Chineseness,"" Chinese American literature and film, and historical studies of East/West relations"
AAS 3030,Asians in the Americas: A Comparative Perspective,4,Stdnt Opt,Spring,,,"AMST 3703, ANTHR 3703",(CA-AS),(HB),,"The common perception of ethnicity is that it is a ""natural"" and an inevitable consequence of cultural difference. ""Asians"" overseas, in particular, have won repute as a people who cling tenaciously to their culture and refuse to assimilate into their host societies and cultures. But, who are the ""Asians?"" On what basis can we label ""Asians"" an ethnic group? Although there is a significant Asian presence in the Caribbean, the category ""Asian"" itself does not exist in the Caribbean. What does this say about the nature of categories that label and demarcate groups of people on the basis of alleged cultural and phenotypical characteristics? This course will examine the dynamics behind group identity, namely ethnicity, by comparing and contrasting the multicultural experience of Asian populations in the Caribbean and the United States. Ethnographic case studies will focus on the East Indian and Chinese experiences in the Caribbean and the Chinese, Korean, Japanese, Filipino, and Indian experiences in the United States"
AAS 3580,Twentieth Century Women Writers of Color in the Americas,4,Stdnt Opt,Spring,,,"AMST 3580, ENGL 3580, FGSS 3581",(LA-AS),,,"In this course, we'll be reading literature—primarily novels—produced by hemispheric American women writers of the mid- to late twentieth-century.  We will look at how these writings articulate concerns with language, home, mobility, and memory, and at how the work is informed by the specificities of gender, race, region, and class.  Readings may include work by Leslie Marmon Silko, Sandra Cisneros, Theresa Hak Kyung Cha, Jamaica Kincaid, Gwendolyn Brooks, Ann Petry, Fae Myenne Ng, Carolivia Herron, Helena Maria Viramontes, and Shani Mootoo"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AEM 1106,FWS: Topics in Applied Economics and Management,3,Graded,Fall,,,,,,,The Dyson School offers first-year writing seminars on a wide range of Applied Economics and Management topics. Topics vary by section
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,,,," HADM 1810 and ILRID 1700. In addition, due to an overlap in content, students will not receive credit for both AEM 1200, and AEM 2200, unless AEM 1200 was taken over the summer and before the student matriculated","Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1240,Rose Scholars Program,1,S/U NoAud,"Fall, spring",,,,,,,"The Rose Scholars program in an interdisciplinary course targeted at residents of Flora Rose House, but open to all. The program requires weekly participation in one of about five guided trips, workshops, discussions, lectures, and performances in social sciences, natural sciences, arts, humanities, and other fields. Participants reflect on their experiences with weekly digital media postings. The program is designed to introduce participants to the breadth of intellectual resources and activities on the Cornell campus and in the nearby community"
AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,3,Stdnt Opt,"Spring, summer",MATH 1106 or MATH 1110 or equivalent,,,(SBA-AG),,AEM 2500. Students who have already taken Introductory Microeconomics should enroll in AEM 2500,"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources"
