Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 3230,Managerial Accounting,3,Graded,"Winter, spring, summer",AEM 2210 or equivalent,,,,,,"Introduction to cost accounting emphasizing the application of accounting concepts to managerial control and decision making. Major topics include product costing, standard costing, cost behavior, cost allocation, budgeting, variance analysis, and accounting systems in the manufacturing environment. Requires use of electronic spreadsheets. Includes an evening prelim, a second exam, and weekly homework"
AEM 4940,Undergraduate Special Topics in Applied Economics and Management,1-4,Stdnt Opt,Fall or spring,,,NBA 5841,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester"
AMST 2020,"Popular Culture in the United States, 1950 to the Present",4,Stdnt Opt,Spring,,,,(HA-AS),,,"AMST 2020 treats the period from 1950 to the present as we examine best-sellers, films, sports and television, radio, ads, newspapers, magazines, and music. We try to better understand the ways in which popular culture shapes and/or reflects American values. The course also depicts popular culture as ""contested terrain,"" the place where social classes, racial and ethnic groups, women and men, the powerful and less powerful seek to ""control"" images and themes. Topics include The Honeymooners and 1950s television, soap operas; ""gross-out"" movies; Elvis; the Beatles, and Guns 'n Roses; gothic romances; and People Magazine and USA Today"
AMST 3141,Prisons,4,Stdnt Opt,"Fall, winter, summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. Our purpose in this course is to understand how social and political actors have utitlized ideas that have deep roots in American political thought (ideas about rights, race, and responsibility) in ways that have now come to define large groups of the population as 'carcerable.'"
AMST 4696,The Art Market,4,Graded,Summer,,,"ARTH 4696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
AMST 6696,The Art Market,4,Graded,Summer,,,ARTH 6696,,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,Spring,,,,(PBS Supplementary List),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
ANTHR 2496,The Anthropology and History of the Food You Eat,3,Stdnt Opt,Winter,,,,,,,"Students in this on-line course will discuss readings on the history and anthropology of the development of the global food system while at the same time document and examine their own food habits. The course will present case studies from Mexico, Peru, India, Africa, as well as from the United States so that students delve into the history and extent of corporate control of food production while they buy and consume food, and document and analyze their diet"
ANTHR 4496,The Anthropology and History of the Food You Eat,3,Stdnt Opt,Winter,,,,,,,"Students in this on-line course will discuss readings on the history and anthropology of the development of the global food system while at the same time document and examine their own food habits. The course will present case studies from Mexico, Peru, India, Africa, as well as from the United States so that students delve into the history and extent of corporate control of food production while they buy and consume food, and document and analyze their diet"
ARTH 4696,The Art Market,4,Graded,Summer,,,"AMST 4696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ARTH 6696,The Art Market,4,Graded,Summer,,,AMST 6696,,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
BIOEE 2640,Tropical Field Ornithology,3,Stdnt Opt,Winter,,,,(PBS),,,"Provides students with the opportunity to study birds intensively in a neotropical environment. Students learn observational and field techniques, participate in group research projects and in daily seminars. See the website for more information. "
BIOMS 1310,"Parasites as Literary Protagonists - Mind Control, Emasculation, and Egg Sacks",1,Graded,"Winter, summer",,,,,,,"This course will introduce students to the world of pathogens, mainly parasitic animals, affecting host behavior. Various works of science fiction, horror, fantasy, and thrillers, will be drawn from to introduce the subject of host manipulation and control. Discussed will be parasites modifying host behaviors to: protect themselves, change their host's attractiveness to a mate, make the host more attractive to predators, make the host easier to catch by predators, fooling the host into taking care of the parasite's young instead of its own, changing the gender of the host to make it the appropriate parent for its young, etc. Scientific examples of the manipulations used in literature will be presented in relation to the stories presented"
BIOPL 2400,Green World/Blue Planet,3,Stdnt Opt,"Fall, summer. (Six-week session)",,,,(CA) (PBS),,,"Focuses on helping individuals understand how scientific information relates to the issues they face as citizens, in management decision making, and in public policy. To what extent should genetic engineering of crop plants be permitted? Should we place limits on fossil fuel consumption as a means of limiting global warming and global climate change? Must human endeavors be restricted in certain areas to maintain diversity? The format of this course is interactive, with lectures and discussions about how we as a society deal with controversial issues"
CLASS 2604,Greek Mythology,3,Stdnt Opt,"Fall, winter, summer",,,,(LA-AS),(HB),,"Survey of the Greek myths, with emphasis on the content and significance of the myths in Mediterranean society, including the place of myth in Greek life and consciousness; the factors and influences involved in the creation of myths; and the use of myths for our understanding of Greek literature, religion, and moral and political concepts"
COMM 3030,Organizational Writing,3,Graded,"Fall, winter, spring",one college-level writing course,,,,,,"Students write from the point of view of various organizations, including businesses, government agencies, and nonprofit organizations. This course emphasizes appropriate representation of the writer's organization, audience analysis, and clear and effective written presentation of detailed content. Assignments include text for web sites, reports, proposals, memoranda, letters, and e-mail"
EAS 1109,Dinosaurs,1,Stdnt Opt,"Fall, winter, summer",,,,,,,Introductory survey course for anyone interested in dinosaurs. Lectures examine the fossil evidence and illustrate how various geological and biological disciplines contribute to understanding dinosaurs and their world
ECE 4999,Electrical and Computer Engineering Independent Projects,1-4,Graded,"Fall, spring",,,,,,,"Individual study or directed reading in connection with a special engineering problem chosen by the student after consultation with the faculty member directing the project. An engineering report on the project is required. Students must make individual arrangements with a faculty sponsor and submit an Independent Project Form to the Student Services Office, 223 Phillips Hall"
ECON 1110,Introductory Microeconomics,3,Stdnt Opt,"Fall, winter, spring, summer",,,,(SBA-AS),,"With regard to overlaps between ECON 1110, ECON 3010, and ECON 3030, please refer to the Economics section for details. In addition, students may not receive credit for both ECON 1110 and HADM 1410","Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy"
ECON 1120,Introductory Macroeconomics,3,Stdnt Opt,"Fall, winter, spring, summer",,,,(SBA-AS),,"With regard to overlaps between ECON 1120, ECON 3020, and ECON 3040, please refer to the Economics section for details","Analysis of aggregate economic activity in relation to the level, stability, and growth of national income. Topics may include the determination and effects of unemployment, inflation, balance of payments, deficits, and economic development, and how these may be influenced by monetary, fiscal, and other policies"
EDUC 4940,Special Topics in Education,1-4,Stdnt Opt,"Fall, spring, summer",,,,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and will be advertised by the department before the semester starts. Courses offered under this number will be approved by the department curriculum committee, and the same course is not offered more than twice under this number"
ENGRC 3500,Engineering Communications,3,Graded,"Fall, spring",two first-year writing seminars and affiliation with a major,,,(CE),,,"Prepares students for important communication activities. They communicate using various types of documents (e.g., emails, memos, problem analyses, proposals, progress reports), give oral presentations, and incorporate graphics in their oral and written work. Students learn how to communicate specialized information to different audiences (e.g., technical and nontechnical audiences, colleagues and clients, peers and supervisors, and in-house departments), work in teams, and address organizational and ethical issues. The course material is drawn from professional contexts, principally engineering, and it generates lively discussion. The class size ensures close attention to each student's work"
ENTOM 3340,Tropical Field Entomology,3,Stdnt Opt,Winter,ENTOM 2120 or BIOEE 1780 or BIOEE 1610,,,,,,"This course will give students hands-on exposure to insect biodiversity, ecology, and behavior in a neotropical rainforest environment. Students will gain experience in insect sampling and survey methods, insect identification to the family level, insect natural history, experimental design and data collection in a field setting, basic statistics, interpretation and evaluation of scientific literature, and scientific writing. Course takes place over a two-week period for approximately 8 hr/day"
GOVT 1615,Introduction to Political Philosophy,4,Stdnt Opt,"Winter, spring, summer",,,,(HA-AS),(HB),,A survey of the development of Western political theory from Plato to the present.  Readings from the works of the major theorists.  An examination of the relevance of their ideas to contemporary politics
GOVT 3141,Prisons,4,Stdnt Opt,"Fall, winter, summer",,,AMST 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. Our purpose in this course is to understand how social and political actors have utitlized ideas that have deep roots in American political thought (ideas about rights, race, and responsibility) in ways that have now come to define large groups of the population as 'carcerable.'"
GOVT 3434,Chinese Empire and the Cambodian Experience,3,Stdnt Opt,Winter,,,,(CA-AS),(GB),,"This course examines the relationship between China Cambodia, going back a thousand years, but focusing primarily on two countries' differing experiences with colonialism, the Cold War, and the politics of the present day. It also traces the bilateral relationship between China and Cambodia, paying special attention on the Khmer Rouge era (1975-1979). The course assumes no prior knowledge of China or Cambodia, although it would be a good idea for students to do some reading in advance of the class. We will combine lectures, discussions and field research, culminating with a final exam at the end of the course. Most of the lectures and discussions will take place at Wat Damnak in Siem Reap, with field trips to Angkor, Phnom Penh, Phnom Kulen, Anlong Veng, and Kampong Chhnang"
HADM 3135,Conversations with Entrepreneurs,1,S/U NoAud,"Fall, winter, spring. (Weeks 8-14)",,,,,,,"This course is intended to expose students to the entrepreneurial journey. Weekly guest speakers interact with students to create a picture of what it is to be an entrepreneur. Established entrepreneurs to entrepreneurs just starting their own businesses share their stories to highlight the challenges and benefits of entrepreneurship. The course illustrates the value of the entrepreneurial mind and entrepreneurial thinking to professional career development for both students who plan to pursue a career in corporations or start their own ventures. The objectives of the course are achieved through attendance at lectures, reflective assignments on entrepreneurial speaker presentations, entrepreneurial career planning assignments, and an entrepreneurial journey project"
HADM 4180,Technology for Bootstrapped Entrepreneurship,3,GradeNoAud,"Winter, spring",,,,,,,"This course provides an overview of how to identify, evaluate, and design technology to enhance service delivery in bootstrapped entrepreneurial ventures. The course prepares students who have entrepreneurial intentions in a bootstrapped venture, whether for-profit or non-profit, to view contemporary issues in service delivery through the prism of entrepreneurial theory and practice. The class starts out using BMFiddle as a tool to model a business idea in the cloud for collaborative feedback.  As the semester progresses, this model becomes the basis for the final project, the creation of a strategic technology plan that integrates many types of cloud-based technology vendors to maximize the execution and growth of a start-up entity.  This objective is achieved through attendance at lectures and hands-on labs utilizing a mix of instructional methods including cooperative learning activities, hospitality case studies, alumni interview case development, reflective logs, group and individual pitch assignments, and project-based written assignments"
HADM 6135,Conversations with Entrepreneurs,1,S/U NoAud,"Fall, winter, spring. (Weeks 8-14)",,,,,,,"This course is intended to expose students to the entrepreneurial journey. Weekly guest speakers interact with students to create a picture of what it is to be an entrepreneur. Established entrepreneurs to entrepreneurs just starting their own businesses share their stories to highlight the challenges and benefits of entrepreneurship. The course illustrates the value of the entrepreneurial mind and entrepreneurial thinking to professional career development for both students who plan to pursue a career in corporations or start their own ventures. The objectives of the course are achieved through attendance at lectures, reflective assignments on entrepreneurial speaker presentations, entrepreneurial career planning assignments, and an entrepreneurial journey project"
HADM 6180,Technology for Bootstrapped Entrepreneurship,3,GradeNoAud,"Winter, spring",,,,,,,"This course provides an overview of how to identify, evaluate, and design technology to enhance service delivery in bootstrapped entrepreneurial ventures. The course prepares students who have entrepreneurial intentions in a bootstrapped venture, whether for-profit or non-profit, to view contemporary issues in service delivery through the prism of entrepreneurial theory and practice. The class starts out using BMFiddle as a tool to model a business idea in the cloud for collaborative feedback.  As the semester progresses, this model becomes the basis for the final project, the creation of a strategic technology plan that integrates many types of cloud-based technology vendors to maximize the execution and growth of a start-up entity.  This objective is achieved through attendance at lectures and hands-on labs utilizing a mix of instructional methods including cooperative learning activities, hospitality case studies, alumni interview case development, reflective logs, group and individual pitch assignments, and project-based written assignments"
HD 2600,Introduction to Personality,3,Stdnt Opt,Fall,,,PSYCH 2750,,,,"A shared assumption among personality psychologists is that each person possesses a personality--i.e., characteristic ways of thinking, feeling, and behaving--that uniquely distinguishes him or her from other people. Each individual's personality is the culmination of his or her genetic makeup, biology, early life experiences, learning and culture. In this undergraduate-level course, we will review the major theories and research paradigms (e.g., trait, biological, cognitive) of modern-day personality psychology. The course will emphasize contemporary research, theory, and methodology, as well as provide a review of historical accounts that have significantly contributed to current conceptualizations"
ILRHR 2600,Human Resource Management,3,GradeNoAud,"Fall, spring, summer",,,,,,,"Intended to introduce students to the field of human resource management (HRM). Students learn theories and applications involved in effectively managing people in organizations. In addition, this course covers current topics in HRM that have resulted from environmental and organizational challenges (e.g., technology, globalization, legislation, restructuring, work/life balance, changing labor markets). Emphasis is placed on developing relevant problem-solving and critical-thinking skills, as the basic concepts of HRM and the skills developed in this course are applicable to all types of organizations and jobs in which students will eventually work"
ILRLR 4023,Disability and Employment Policy,2,GradeNoAud,Spring. (Seven weeks),,,,,,,"Provides an overview of a range of public policies regarding the employment of people with disabilities. Students are introduced to the historical development of disability public policy and to contemporary practices in implementing these policies at the state and organizational levels. Students explore the multiple areas of public policy relevant to persons with disabilities, including veterans legislation, worker's compensation, vocational rehabilitation, workforce development, social insurance, and civil rights legislation such as the Americans with Disabilities Act (ADA). Throughout the class, students will consider the relationship between disability employment policy and larger social and political developments. Students also will analyze how public policies have developed in practice, bridging the divides between policy as written, policy as implemented, and policy as practiced"
ILRST 2100,Introductory Statistics,4,GradeNoAud,"Fall, winter, spring, summer",introductory algebra,,STSCI 2100,,,"Students may receive credit for only one course in the following group: AEM 2100, ENGRD 2700, HADM 2010, ILRST 2100/STSCI 2100, MATH 1710, PAM 2100, PAM 2101, PSYCH 3500, SOC 3010, STSCI 2150","Statistics is about understanding the world through data. We are surrounded by data, so there is a lot to understand. Covers data exploration and display, data gathering methods, probability, and statistical inference methods through contingency tables and linear regression. The emphasis is on thinking scientifically, understanding what is commonly done with data (and doing some of it for yourself), and laying a foundation for further study. Students learn to use statistical software and simulation tools to discover fundamental results. They use computers regularly; the test includes both multimedia materials and a software package. This course does not focus on data from any particular discipline, but will use real-world examples from a wide variety of disciplines and current events"
NBA 5841,Global Business Strategy,3,Opt NoAud,Winter,,,AEM 4940,,,,"In an increasingly globalized and interconnected world, more and more companies are going abroad to pursue their major business objectives. How can they take advantage of the global marketplace and create economic value through their multimarket activities? This course provides the evidence, analytical concepts and models for understanding company performance in a global world. The ultimate goal of the course is to help you prepare for global leadership in the early 21st century by understanding the analytical frameworks on strategy formulation and implementation in an international context. Topics include identification and assessment of the cultural, economic, political and legal forces that shape the international economic environment; the principles of global competition; motivations and models for international expansion; gains from and costs of trade and foreign direct investment; the pros and cons of forming global strategic alliances; and the principles of multinational strategy, among others. Through a series of concrete case discussions, the course further aims to help you develop practical skills in applying the tools of global strategic analysis in concrete business situations"
NS 1150,"Nutrition, Health, and Society",3,Stdnt Opt,"Fall, winter, summer",,,,,,,"Discusses the facts and fallacies concerning the role that nutrition, exercise, and other health behaviors play in preventing disease, maintaining good health, and maximizing athletic performance. Emphasis is on understanding the biological mechanisms through which good nutrition and regular exercise affect psychological and physical health"
ORIE 3150,Financial and Managerial Accounting,4,Graded,"Fall, winter, summer",,,,,,,"Covers principles of accounting, financial reports, financial-transactions analysis, financial-statement analysis, budgeting, job order and process-cost systems, standard costing and variance analysis, and economic analysis of short-term decisions"
PAM 4000,Directed Readings,1-15,Stdnt Opt,"Fall, spring",,,,,,,For study that predominantly involves library research and independent reading
PAM 4020,Supervised Fieldwork,1-15,Stdnt Opt,"Fall, spring",,,,,,,"For study that involves both responsible participation in a community setting and reflection on that experience through discussion, reading, and writing. Academic credit is awarded for this integration of theory and practice"
PSYCH 2750,Introduction to Personality,3,Stdnt Opt,Fall,,,HD 2600,(SBA-AS),,,"A shared assumption among personality psychologists is that each person possesses a personality--i.e., characteristic ways of thinking, feeling, and behaving--that uniquely distinguishes him or her from other people. Each individual's personality is the culmination of his or her genetic makeup, biology, early life experiences, learning and culture. In this undergraduate-level course, we will review the major theories and research paradigms (e.g., trait, biological, cognitive) of modern-day personality psychology. The course will emphasize contemporary research, theory, and methodology, as well as provide a review of historical accounts that have significantly contributed to current conceptualizations"
PSYCH 4700,Undergraduate Research in Psychology,1-6,Stdnt Opt,Fall or spring,,,,,,,"Practice in planning, conducting, and reporting independent laboratory, field, and/or library research"
SOC 1101,Introduction to Sociology,3,Stdnt Opt,"Fall, spring, summer",,,,(SBA-AS),,Students may not receive credit for both SOC 1101 and DSOC 1101,"This course introduces classical and contemporary sociological perspectives.  We will begin by considering (mainly classical) perspectives which focus on macro-level features of society (e.g., population, the economy) and the sweeping changes that have occurred within them over the past couple of centuries.  Particular attention will be paid to changes in social cohesion, the division of labor, the spatial organization of society, and technology. These theories, which are covered in the first two segments of the course, provide some insight into where society is going and what challenges have emerged along the way.  In the third segment of the course, we will look more closely at the role of individuals and everyday interaction in the genesis of social phenomena.  We will explore theories about what motivates individuals' social behavior, the role of rationality and emotion, how the micromechanics of interpersonal contact can shape larger society, and the subtle links between biological and social processes.  In the final segment of the course, we will explore complex webs that emerge through social actors' connections to each other, and how these network structures have been shaped by the various processes that were examined during the semester"
STSCI 2100,Introductory Statistics,4,GradeNoAud,"Fall, spring, summer",,,ILRST 2100,(MQR),,"Students may receive credit for only one course in the following group: AEM 2100, ENGRD 2700, HADM 2010, ILRST 2100, MATH 1710, PAM 2100, PAM 2101, PSYCH 3500, SOC 3010, STSCI 2100, STSCI 2150","Statistics is about understanding the world through data. We are surrounded by data, so there is a lot to understand. Covers data exploration and display, data gathering methods, probability, and statistical inference methods through contingency tables and linear regression. The emphasis is on thinking scientifically, understanding what is commonly done with data (and doing some of it for yourself), and laying a foundation for further study. Students learn to use statistical software and simulation tools to discover fundamental results. They use computers regularly; the test includes both multimedia materials and a software package. This course does not focus on data from any particular discipline, but will use real-world examples from a wide variety of disciplines and current events"
SYSEN 5700,Special Topics in Systems Engineering,1-6,Graded,,,,,,,,Supervised study by individuals or small groups of one or more specialized topics not covered in regular courses
VISST 4696,The Art Market,4,Graded,Summer,,,"AMST 4696, ARTH 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
