Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,AEM 1201,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1201,Business Management,3,Graded,Summer,,,AEM 1200,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1300,Macroeconomic Policy and the 2016 Election: Introduction to the Issues and How to Analyze Them,3,Stdnt Opt,Summer,,,,,,ECON 1120,This course is an introduction to macroeconomic analysis at the college level and the issues that are most important to the national debate culminating in the 2016 election. A simple model of the macroeconomy is introduced and then used to illuminate these issues through examination of empirical data. Among the topics covered are: How Big Should the Government Be and Should We Care About the Government Deficit? Who Should We Tax and How Much? Social Security – What Is It and Should You Care? Health Insurance and Obamacare The European Crisis – The Difference between Spain and Florida Inflation and the Zero Lower Bound To Regulate or Not? The Crash of 2009 – Déjà Vu All Over Again? Immigration and Economic Growth China and the US Income Distribution
AEM 1500,An Introduction to the Economics of Environmental and Natural Resources,3,Stdnt Opt,Spring,MATH 1106 or MATH 1110 or equivalent,,,(SBA),,AEM 2500. Students who have already taken Introductory Microeconomics should enroll in AEM 2500,"This course provides an introduction to the economic foundations for public decision-making regarding environmental quality and natural resources. Emphasis is placed on how basic tools of economic analysis can be used to identify sources of environmental problems and solutions to these problems. Topics to be covered include ""individual hand"" concepts underlying market success, market failure with particular focus on public goods and externalities, benefit-cost analysis and non-market valuation, incentive-based policies for controlling pollution, and economic aspects of renewable and non-renewable resources"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, spring, summer, winter",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2210,Financial Accounting,3,GradeNoAud,"Fall, spring, summer",,,,,,"s: AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments"
AEM 2350,Introduction To The Economics Of Development,3,Stdnt Opt,Fall,"ECON 1110, ECON 1120",,,(SBA),,,This course is intended as an introduction to the economics of low income countries. It focuses on the policies and constraints to promoting growth and development
AEM 2400,Marketing,3,Stdnt Opt,"Fall, summer",,,,,,AEM 2420,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 2700,Management Communication,3,Graded,"Fall, spring",,,,,,COMM 2010,"Management Communication is intended to help you think strategically about communication and aid you in improving your writing, presentation, and interpersonal communication skills as a future manager. We will look at a set of ""best practices"" or guidelines that have been derived from both research and experience, give you the opportunity to put those guidelines into practice, and provide you with feedback on your work to help you strengthen your abilities. More often than not, we will be using a workshop format that will rely heavily on discussion and in-class exercises"
AEM 3230,Managerial Accounting,3,Graded,"Winter, spring, summer",AEM 2210 or equivalent,,,,,,"Introduction to cost accounting emphasizing the application of accounting concepts to managerial control and decision making. Major topics include product costing, standard costing, cost behavior, cost allocation, budgeting, variance analysis, and accounting systems in the manufacturing environment. Requires use of electronic spreadsheets. Includes an evening prelim, a second exam, and weekly homework"
