Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, spring, summer, winter",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2210,Financial Accounting,3,GradeNoAud,"Fall, spring, summer",,,,,,"s: AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments"
AEM 2400,Marketing,3,Stdnt Opt,"Fall, summer",,,,,,AEM 2420,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 3230,Managerial Accounting,3,Graded,"Fall, winter, spring, summer","AEM 2210, AEM 2225 or equivalent",,,,,,"This course provides an introduction to the basic concepts, analyses, uses, and procedures of accounting and control used by internal company managers when they are faced with planning, directing, controlling, and decision-making activities in their organization. Topics covered focus on the relationship between strategy and decision-making and include product and service costing, budget setting, decision-making, profitability analysis, pricing, investment analysis, management control systems, and performance measurement"
AEM 4940,Undergraduate Special Topics in Applied Economics and Management,3,Stdnt Opt,"Fall, spring, summer",,,NBA 5991,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester"
AMST 2020,"Popular Culture in the United States, 1950 to 2000",4,Stdnt Opt,"Winter, summer",,,,(HA-AS),,,"This course treats the period from 1950 to 2000 as we examine best-sellers, films, sports and television, radio, ads, newspapers, magazines, and music. We try to better understand the ways in which popular culture shapes and/or reflects American values. The course also depicts popular culture as ""contested terrain,"" the place where social classes, racial and ethnic groups, women and men, the powerful and less powerful seek to ""control"" images and themes. Topics include The Honeymooners and 1950s television; soap operas; ""gross-out"" movies; Elvis; the Beatles, and Guns 'n Roses; gothic romances; and People Magazine and USA Today"
AMST 3141,Prisons,4,Stdnt Opt,"Spring, winter, summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. These categories that are based on ideas of personal responsibility and assumptions about race are modified somewhat by a liberal commitment to human rights.   Our purpose in this course is to understand how such ideas have taken root and to locate the consequences of these ideas for policy and practice. "
AMST 4696,The Art Market,4,Graded,"Winter, summer",,,"AMST 6696, ARTH 4696, ARTH 6696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
AMST 6696,The Art Market,4,Graded,"Winter, summer",,,"AMST 4696, ARTH 4696, ARTH 6696, VISST 4696",,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,"Spring, summer",,,,(PBSS-AS),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
ARTH 3856,"Performing Angkor: Dance, Silk and Stone",3,Stdnt Opt,Winter,,,ASIAN 3356,(CA-AS),(GB),,"""Performing Angkor"" has been a powerful way for Cambodian people to revisit their architectural past en route to reaffirming their future. The Angkorian Empire, situated now in the province of Siem Reap in Cambodia, once stretched across much of Mainland Southeast Asia from the 9th to the 15th centuries. Early inscriptions relate how Khmer dancers wrapped in sumptuous silks were presented as offerings to temples. This 2 week Cornell in Cambodia course will encourage students in an embodied way to explore how the creative and political fastening of the lived world to a spiritual place like Angkor has a long and richly embedded history combining dance, silk and stone. Students will visit sacred sites, weaving workshops, observe dance classes and performances, and explore Cambodia's National Museum"
ARTH 4696,The Art Market,4,Graded,"Winter, summer",,,"AMST 4696, AMST 6696, ARTH 6696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ARTH 6696,The Art Market,4,Graded,"Winter, summer",,,"AMST 4696, AMST 6696, ARTH 4696, VISST 4696",,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ASIAN 3356,"Performing Angkor: Dance, Silk and Stone",3,Stdnt Opt,Winter,,,ARTH 3856,(CA-AS),(GB),,"""Performing Angkor"" has been a powerful way for Cambodian people to revisit their architectural past en route to reaffirming their future. The Angkorian Empire, situated now in the province of Siem Reap in Cambodia, once stretched across much of Mainland Southeast Asia from the 9th to the 15th centuries. Early inscriptions relate how Khmer dancers wrapped in sumptuous silks were presented as offerings to temples. This 2 week Cornell in Cambodia course will encourage students in an embodied way to explore how the creative and political fastening of the lived world to a spiritual place like Angkor has a long and richly embedded history combining dance, silk and stone. Students will visit sacred sites, weaving workshops, observe dance classes and performances, and explore Cambodia's National Museum"
BIOMS 1311,Paleoparasitology of Egypt and North Africa,1,Graded,"Winter, summer",,,,,,,"This course serves an introduction to paleoparasitology. This branch of science began more than 100 years ago with the discovery of the eggs of the human blood fluke, a schistosome, in histologic sections of tissues from organs of Egyptian mummies. The work expanded in modern times as it became associated both with archaeology and paleoanthropology. Much of the research today utilizes minimally invasive methods to examine ancient remains and is aided greatly by new molecular approaches. The course will examine the different methodologies and findings that have been unearthed in Ancient Egypt and north Africa in natural and manmade mummified remains of humans and animals and through the careful examination of different archaeological sites"
CEE 5071,Professional Experience in Structural Mechanics,3,Graded,Winter,,,,,,,"A comprehensive professional experience, involving: a real-world problem, an industry adviser, integrating technical course work, and resulting in a final written report. Representative themes for the practice experience include: forensic engineering studies and failure investigations; design of signature buildings or bridges; structural condition assessment and prognosis studies; etc"
CLASS 2604,Greek Mythology,3,Stdnt Opt,"Fall, winter, summer",,,,(LA-AS),(HB),,"Survey of the Greek myths, with emphasis on the content and significance of the myths in Mediterranean society, including the place of myth in Greek life and consciousness; the factors and influences involved in the creation of myths; and the use of myths for our understanding of Greek literature, religion, and moral and political concepts"
EAS 1109,Dinosaurs,1,Stdnt Opt,"Fall, winter, spring, summer",,,,"(HA-EN, OPHLS-AG)",,,Introductory survey course for anyone interested in dinosaurs. Lectures examine the fossil evidence and illustrate how various geological and biological disciplines contribute to understanding dinosaurs and their world
ECON 1110,Introductory Microeconomics,3,Stdnt Opt,"Fall, winter, spring, summer",,,,(SBA-AS),,Students may not receive credit for both ECON 1110 and HADM 1410,"Explanation and evaluation of how the price system operates in determining what goods are produced, how goods are produced, who receives income, and how the price system is modified and influenced by private organizations and government policy"
ECON 1120,Introductory Macroeconomics,3,Stdnt Opt,"Fall, winter, spring, summer",,,,(SBA-AS),,Students may not receive credit for both AEM 1300 and ECON 1120,"Analysis of aggregate economic activity in relation to the level, stability, and growth of national income. Topics may include the determination and effects of unemployment, inflation, balance of payments, deficits, and economic development, and how these may be influenced by monetary, fiscal, and other policies"
EDUC 4940,Special Topics in Education,2,Opt NoAud,"Fall, winter, spring, summer",,,,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and will be advertised by the department before the semester starts. Courses offered under this number will be approved by the department curriculum committee, and the same course is not offered more than twice under this number"
ENGRC 3500,Engineering Communications,3,Graded,"Fall, spring",two first-year writing seminars and affiliation with a major,,,(CE-EN),,,"Prepares students for important communication activities. They communicate using various types of documents (e.g., emails, memos, problem analyses, proposals, progress reports), give oral presentations, and incorporate graphics in their oral and written work. Students learn how to communicate specialized information to different audiences (e.g., technical and nontechnical audiences, colleagues and clients, peers and supervisors, and in-house departments), work in teams, and address organizational and ethical issues. The course material is drawn from professional contexts, principally engineering, and it generates lively discussion. The class size ensures close attention to each student's work"
