Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 1100,Introduction to Asian American Studies,3,Stdnt Opt,Spring,,,,(CA-AS),,,"This course examines the historical and contemporary issues of Asian Americans from the 1960s Civil Rights Era to the current moment of what has been termed the Post-Racial Era of the 21st century. We will analyze major themes such as race and class relations, gender and the family, immigration and globalization, religion and community activism. In the first half of this course, we will learn fundamental concepts and ideas by examining major events, including the Asian American Movement, the murder of Vincent Chin, and the LA Uprisings. In the second half of this course, we will examine how race and gender relations change alongside contemporary moments of globalization and the economy through a variety of topics including interracial marriages, refugees and welfare, the Tiger Mother, and affirmative action"
AAS 2620,Introduction to Asian American Literature,4,Stdnt Opt,Spring,,,"AMST 2620, ENGL 2620",(LA-AS),,,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities"
AAS 2800,Cultural Psychology,3,GradeNoAud,,,,HD 2800,,,,"This course focuses on the cutting-edge research from the recently emerged, exciting field of cultural psychology. We discuss major theories and findings that integrate cultural perspectives into psychology, and consider methodological issues unique for studying the role of culture in psychological processes and functioning. Drawing on recent work in social psychology, developmental psychology, cognitive psychology, neuroscience, and cultural anthropology, we consicer a variety of topics (e.g., the self, motivation, morality, emotion, cognition, psychopathology, interpersonal relationships) from cultural perspectives"
AAS 3515,The Asian American Middle Class,4,Graded,Fall,,,"AMST 3520, HIST 3515",(HA-AS),,,"The Asian American middle class is defined by having a certain level of education, bourgeoisie sets of manners, investment in home ownership, professional qualifications such as a doctor or an engineer, and participation in popular culture. This course takes a historical, cultural, and social perspective of the rise of the Asian American Middle Class from the late nineteenth century to the current day. How did Asian Americans become part of the American middle class? Did the middle class experience racism differently compared to the working class? And although many Asian Americans strived to belong to the middle class, what are the limits of middle-class Asian American politics and lifestyle? We will cover topics such as immigration, imperialism, family politics, second generation, popular culture, model minority, education, and suicides"
AAS 4509,"Temporalities of Empire, Nation and Colonial Difference",4,Stdnt Opt,Spring,,,"ANTHR 4109, SHUM 4509",,,,"This course asks how do racialization projects constitutive of modern European empire figure in the making of nation states? How in particular did anticipation of rights bearing European publics, enshrining post Enlightenment values, implicate/disturb the linear narrative of nation states emerging from the ruins of empire? We will explore the temporal entanglements between racialization logics of empire and nation, one demanding difference the other, sameness.  What are the logics and ambivalences of racialization when time of empire requiring difference is also the time of nation, requiring sameness?  What are implications of such an entanglement for postcolonial nations? How do inherited racializations set limits on postcolonial aspirations for homogeneity?  How does postcolonial homogeneity also produce difference in demarcation of the rights bearing subject of the nation?"
AAS 4555,Race and Time,4,Stdnt Opt,Spring,,,"AAS 6995, ENGL 4550, ENGL 6995",(LA-AS),,,"Race, comparison, and time—what do these terms have to do with each other? What does it mean to be in time, or out of time? What are some other ways of inhabiting time, or of being inhabited by time? What is the time of the racialized subject? How is time and temporality figured in literature? Some of the writers we'll be reading in the course include Carolivia Herron, Carlos Bulosan, Jamaica Kincaid, Theresa Hak Kyung Cha, and Joy Kogawa. Other readings will be drawn from a range of disciplines, including selections from the work of Johannes Fabian, Frantz Fanon, Dipesh Chakrabarty, Walter Benjamin, Ernst Bloch, Cathy Caruth, Thomas Bender and David Wellbery"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,No description available
AAS 6995,Race and Time,4,Stdnt Opt,Spring,,,"AAS 4555, ENGL 4550, ENGL 6995",,,,"Race, comparison, and time—what do these terms have to do with each other? What does it mean to be in time, or out of time?  What are some other ways of inhabiting time, or of being inhabited by time? What is the time of the racialized subject? How is time and temporality figured in literature? Some of the writers we'll be reading in the course include Carolivia Herron, Carlos Bulosan, Jamaica Kincaid, Theresa Hak Kyung Cha, and Joy Kogawa. Other readings will be drawn from a range of disciplines, including selections from the work of Johannes Fabian, Frantz Fanon, Dipesh Chakrabarty, Walter Benjamin, Ernst Bloch, Cathy Caruth, Thomas Bender and David Wellbe"
AEM 1106,FWS: Topics in Applied Economics and Management,3,Graded,Fall,,,,,,,The Dyson School offers first-year writing seminars on a wide range of Applied Economics and Management topics. Topics vary by section
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
