Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 1200,Introduction to Business Management,3,Graded,"Spring, summer",,,AEM 1201,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 1201,Business Management,3,Graded,Summer,,,AEM 1200,,,,"Provides an overview of management and business. Human resource, marketing, finance, and strategy concerns are addressed with consideration paid to current issues such as technological innovation and its impact on operations, globalization, ethics, teamwork, leadership, and entrepreneurship. Opportunity to deliver an integrative group project"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,Graded,"Fall, spring",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2210,Financial Accounting,3,Graded,"Fall, spring, summer",,,,,,"s: AEM 2225, HADM 1210, HADM 2230","Comprehensive introduction to financial accounting concepts and techniques, intended to provide a basic understanding of the accounting cycle, elements of financial statements, underlying theory of GAAP, and financial statement interpretation. Topics include methods of recording inventory, receivables, depreciation, bonds, and equity. Requires two evening prelims and a comprehensive final; weekly homework assignments"
AEM 2400,Marketing,3,Stdnt Opt,"Fall, summer",,,,,,,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 3230,Managerial Accounting,3,Graded,"Winter, spring, summer",AEM 2210 or equivalent,,,,,,"Introduction to cost accounting emphasizing the application of accounting concepts to managerial control and decision making. Major topics include product costing, standard costing, cost behavior, cost allocation, budgeting, variance analysis, and accounting systems in the manufacturing environment. Requires use of electronic spreadsheets. Includes an evening prelim, a second exam, and weekly homework"
AEM 3380,"Social Entrepreneurs, Innovators, and Problem Solvers",3,Stdnt Opt,"Fall, summer",,,,(SBA),,,"Introduces students to the social entrepreneurs, innovators, and visionaries who are creating new strategies for solving society's problems. The course highlights innovative case studies of success in restoring the environment, resolving conflicts, curing diseases, overcoming poverty, and addressing other problems of social injustice. At the end of the course, each student develops an original blueprint for social innovation: a creative proposal for solving a societal problem"
AEM 4940,Undergraduate Special Topics in Applied Economics and Management,3,Stdnt Opt,Fall or spring,,,,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester"
AEM 4960,Applied Economics and Management Internship,1,Sat/Unsat,"Fall, spring",,,,,,,Evaluation of internship experience requiring the following written submission at the end of the term. 1) Internship job description and copies of training materials provided. 2) Weekly diary including descriptions of job responsibilities and reflections/insights on those experiences. 3) Three to five page paper reflecting on how the internship related to the academic program. All internships must be approved by the internship coordinator before the work experience segment
ALS 1140,Explorations in Biology Research and Health Professions,1,Graded,Summer,,,,,,,"Explores biology as it pertains to research, health-care professions, and the world at large. This seminar is designed for students with a strong interest in medicine and biological research. Discussions and laboratory exercises allow students to interact with faculty and guest speakers. Students learn to read and evaluate scientific publications on current biological topics. Course grade is based on several short papers"
