Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 2130,Introduction to Asian American History,4,Stdnt Opt,Fall,,,"AMST 2640, HIST 2640",(HA-AS),,,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality"
AAS 2620,Introduction to Asian American Literature,4,Stdnt Opt,Fall,,,"AMST 2620, ENGL 2620",(LA-AS),,,"This course will introduce both a variety of writings by Asian North American authors and some critical issues concerning the production and reception of Asian American texts. Working primarily with novels, we will be asking questions about the relation between literary forms and the socio-historical context within which they take on their meanings, and about the historical formation of Asian American identities"
AAS 4310,"Mind, Self, and Emotion",3,Graded,Fall,HD 1150 or HD 1170 or PSYCH 1101,,"COGST 4350, COGST 6390, HD 4310, HD 6390",(SBA-AS),,,"Offered to students who are currently conducting research or planning to do research in the near future on one of the three topics-memory, self, or emotion. The course examines current data and theories concerning the topics from a variety of perspectives and at multiple levels of analysis, particularly focusing on the interconnections among these fields of inquiry. The ""scale of observation"" is viewed as occurring within the person (brain mechanisms, including genetics), at the level of the person (content-goals, beliefs, desires, etc.), and between persons (relationships and group interaction-including culture)"
AAS 4555,Race and Time,4,Stdnt Opt,Fall,,,"AAS 6995, ENGL 4550, ENGL 6995",(LA-AS),,,"Race, comparison, and time—what do these terms have to do with each other? What does it mean to be in time, or out of time? What are some other ways of inhabiting time, or of being inhabited by time? What is the time of the racialized subject? How is time and temporality figured in literature? Some of the writers we'll be reading in the course include Carolivia Herron, Carlos Bulosan, Jamaica Kincaid, Theresa Hak Kyung Cha, and Joy Kogawa. Other readings will be drawn from a range of disciplines, including selections from the work of Johannes Fabian, Frantz Fanon, Dipesh Chakrabarty, Walter Benjamin, Ernst Bloch, Cathy Caruth, Thomas Bender and David Wellbery"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AAS 6995,Race and Time,4,Stdnt Opt,Fall,,,"AAS 4555, ENGL 4550, ENGL 6995",,,,"Race, comparison, and time—what do these terms have to do with each other? What does it mean to be in time, or out of time?  What are some other ways of inhabiting time, or of being inhabited by time? What is the time of the racialized subject? How is time and temporality figured in literature? Some of the writers we'll be reading in the course include Carolivia Herron, Carlos Bulosan, Jamaica Kincaid, Theresa Hak Kyung Cha, and Joy Kogawa. Other readings will be drawn from a range of disciplines, including selections from the work of Johannes Fabian, Frantz Fanon, Dipesh Chakrabarty, Walter Benjamin, Ernst Bloch, Cathy Caruth, Thomas Bender and David Wellbe"
AEM 1106,FWS: Topics in Applied Economics and Management,3,Graded,Fall,,,,,,,The Dyson School offers first-year writing seminars on a wide range of Applied Economics and Management topics. Topics vary by section
AEM 1220,"Entrepreneurship in the Life Sciences: Past, Present, and Future",1,Stdnt Opt,Fall,,,,,,,"The purpose of AEM 1220 is to introduce students into the world of entrepreneurship in the life sciences through the eyes of experienced life science entrepreneurs. The class will be presented as a lecture series given by well-known and respected entrepreneurs and faculty. Topics to be discussed include: • Differences between scientific investigation and entrepreneurship. • The beginnings of life science entrepreneurship. • Balancing a scientific and entrepreneurial career. • Entrepreneurship in the health professions. • The role and value of life science incubators. • Intellectual property: What is it? And how to protect it! • Ethical issues in life science entrepreneurship. • What areas in the life sciences are ripe for entrepreneurial ventures. • Academia and entrepreneurship. Students will be graded on attendance, questions derived from the lectures and a brief book review"
AEM 1240,Rose Scholars Program,1,S/U NoAud,"Fall, spring",,,,,,,"The Rose Scholars program in an interdisciplinary course targeted at residents of Flora Rose House, but open to all. The program requires weekly participation in one of about five guided trips, workshops, discussions, lectures, and performances in social sciences, natural sciences, arts, humanities, and other fields. Participants reflect on their experiences with weekly digital media postings. The program is designed to introduce participants to the breadth of intellectual resources and activities on the Cornell campus and in the nearby community"
AEM 1600,The Business of Modern Medicine,1,Graded,Fall,,,,,,,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, spring, summer, winter",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2100,Introductory Statistics,4,Graded,Fall,college algebra,,,(OPHLS-AG),,"Students may receive credit for only one course in the following group: AEM 2100, ENGRD 2700, HADM 2010, ILRST 2100/STSCI 2100, MATH 1710, PAM 2100, PAM 2101, PSYCH 3500, SOC 3010, STSCI 2150","Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package"
