Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 2042,Jim Crow and Exclusion Era in America,4,Stdnt Opt,Fall,,,"AMST 2042, HIST 2042",(HA-AS),,,"This seminar examines America during the overlapping eras of segregation & immigration exclusion.  Beginning with contests over the weaning of freedom during reconstruction and running through the institution of Jim Crow legislation and immigration exclusion, the course ends with an evaluation of mid-20th century movements for civil rights and equality.  Themes include the links between racial and economic oppression, legal and defacto restriction, everyday resistance, and struggles for equality"
AAS 2100,South Asian Diaspora,4,Stdnt Opt,Fall,,,ANTHR 2410,(CA-AS),(GHB),,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?"
AAS 2130,Introduction to Asian American History,4,Stdnt Opt,Fall,,,"AMST 2640, HIST 2640",(HA-AS),,,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality"
AAS 3020,Asian Americans & Popular Culture,4,GradeNoAud,Fall,,,"AMST 3025, PMA 3420",(LA-AS),,,"This course examines both mainstream representations of and independent media made by, for, and about Asians and Asian Americans throughout U.S. cultural history. In this course, we will analyze popular cultural genres & forms such as: documentary & narrative films, musical theatre & live performance revues, television, zines & blogs, YouTube/online performances, karaoke & cover performances, stand-up comedy, and popular music. Employing theories of cultural studies, media studies, and performance studies, we will discuss the cultural, discursive, and political impact of these various popular cultural forms and representations from the turn of the 20th century to the present"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, Spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AEM 1220,"Entrepreneurship in the Life Sciences: Past, Present, and Future",1,Stdnt Opt,Fall,,,,,,,"The purpose of AEM 1220 is to introduce students into the world of entrepreneurship in the life sciences through the eyes of experienced life science entrepreneurs. The class will be presented as a lecture series given by well-known and respected entrepreneurs and faculty. Topics to be discussed include: • Differences between scientific investigation and entrepreneurship. • The beginnings of life science entrepreneurship. • Balancing a scientific and entrepreneurial career. • Entrepreneurship in the health professions. • The role and value of life science incubators. • Intellectual property: What is it? And how to protect it! • Ethical issues in life science entrepreneurship. • What areas in the life sciences are ripe for entrepreneurial ventures. • Academia and entrepreneurship. Students will be graded on attendance, questions derived from the lectures and a brief book review"
AEM 1600,The Business of Modern Medicine,1,Graded,Fall,,,,,,,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective"
AEM 2000,Contemporary Controversies in the Global Economy,3,Stdnt Opt,"Fall, Spring",ECON 1110. Recommended prerequisite: ECON 1120,,,,,,"This course aims to stimulate critical thinking, economic reasoning, and cogent writing about contemporary controversies that attract regular attention in the international press and among key private and public sector decision-makers. Students read and discuss competing arguments about current issues such as morally questionable market exchange among willing buyres and sellers, immigration policy, foreign aid, sovereign debt forgiveness, regulating genetically modified foods, etc. Students write, edit, and rewrite short briefing papers which are evaluated for quality of communication as well as subject matter content"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, Spring",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2011,Spreadsheet Modeling for Non-Dyson Majors,3,GradeNoAud,"Fall, Winter, Spring, Summer",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management, international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2100,Introductory Statistics,4,Graded,Fall,college algebra,,,(OPHLS-AG),,"due to an overlap in content, students may receive credit for only one course in the following group: AEM 2100, BTRY 3010, BTRY 6010, ENGRD 2700, HADM 2010, ILRST 2100, ILRST 6100, MATH 1710, PAM 2100, PAM 2101, PSYCH 2500, SOC 3010, STSCI 2100, STSCI 2200, STSCI 2150","Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package"
AEM 2110,The Business of Biofuels,1.5,Sat/Unsat,Fall (weeks 1-7),ECON 1110,,,,,,"After defining biofuels and identifying patterns of production, consumption and trade, several central issues on the economics and business of biofuels are addressed. These include an assessment of how effective biofuel policies are in meeting the various political goals, how biofuel policies established the crop-energy price link and hence the food-fuel trade-off, the unique contradictory and self-defeating effects of effects of combining mandates with different subsidies, the various surprising economic welfare effects of biofuel policies; and the various inconsistencies associated with binary sustainability standards, induced land use change and carbon leakages. The course will take a close look at the various factors that have created the rise of the biofuel industry and how the structure of crude oil refining, blending and retailing have consequently changed"
