Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, spring, summer, winter",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2400,Marketing,3,Stdnt Opt,"Fall, summer",,,,,,AEM 2420,"Provides a broad introduction to the fundamentals of marketing. Explores the components of an organization's strategic marketing program, including how to price, promote, and distribute goods and services. Industry guest lectures and current marketing applications from various companies are presented and analyzed"
AEM 3230,Managerial Accounting,3,Graded,"Winter, spring, summer",AEM 2210 or equivalent,,,,,,"Introduction to cost accounting emphasizing the application of accounting concepts to managerial control and decision making. Major topics include product costing, standard costing, cost behavior, cost allocation, budgeting, variance analysis, and accounting systems in the manufacturing environment. Requires use of electronic spreadsheets. Includes an evening prelim, a second exam, and weekly homework"
AEM 4940,Undergraduate Special Topics in Applied Economics and Management,3,Stdnt Opt,Fall or spring,,,,,,,"The department teaches ""trial"" courses under this number. Offerings vary by semester and are advertised by the department before the beginning of the semester"
AMST 2020,"Popular Culture in the United States, 1950 to the Present",4,Stdnt Opt,Spring,,,,(HA-AS),,,"This course treats the period from 1950 to the present as we examine best-sellers, films, sports and television, radio, ads, newspapers, magazines, and music. We try to better understand the ways in which popular culture shapes and/or reflects American values. The course also depicts popular culture as ""contested terrain,"" the place where social classes, racial and ethnic groups, women and men, the powerful and less powerful seek to ""control"" images and themes. Topics include The Honeymooners and 1950s television; soap operas; ""gross-out"" movies; Elvis; the Beatles, and Guns 'n Roses; gothic romances; and People Magazine and USA Today"
AMST 3141,Prisons,4,Stdnt Opt,"Spring, winter, summer",,,GOVT 3141,(SBA-AS),,,"The United States stands alone among Western, industrialized countries with its persistent, high rates of incarceration, long sentences, and continued use of the death penalty. This ""American exceptionalism"" -- the turn to mass incarceration -- has been fostered by the use of sharply-delineated categories that define vast numbers of people as outlaws and others as law-abiding. These categories that are based on ideas of personal responsibility and assumptions about race are modified somewhat by a liberal commitment to human rights.   Our purpose in this course is to understand how such ideas have taken root and to locate the consequences of these ideas for policy and practice. "
AMST 4696,The Art Market,4,Graded,Summer,,,"ARTH 4696, VISST 4696",(LA-AS),,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
AMST 6696,The Art Market,4,Graded,Summer,,,ARTH 6696,,,,"This course will examine the history of the art market, from the 16th century to the present. We will study the production, sale and exchange of works of art as well as the patrons, artists and collectors who participate in this economic, social and political form of taste-making and aesthetic valuation. Students will learn about noted patrons of the arts, such as the Medici family in Renaissance Italy, our main focus will be on the creation of a global art market in the twentieth century. Using case studies, sample topics include: patterns of transportation, exchange and trade; the interaction of collectors, critics and curators; the spaces and contexts of display of contemporary collections; auction houses and commercial galleries; and fakes, forgeries, thefts and scandals. Special attention will be paid to considering the contemporary art market (post 1980) and the collecting, exchange and valuation of film, photography, painting, performance and installation art. Global markets for the exchange of art in Asia, Europe, Africa, North America and South America will be highlighted as well as the exhibitions of contemporary art such as the Art Basel, the Cairo Biennale and the Venice Biennale that fuel these markets"
ANTHR 1300,"Human Evolution: Genes, Behavior, and the Fossil Record",3,Stdnt Opt,Spring,,,,(PBS Supplementary),,,"The evolution of humankind is explored through the fossil record, studies of the biological differences among current human populations, and a comparison with our closest relatives, the primates. This course investigates the roots of human biology and behavior with an evolutionary framework"
ART 3092,Independent Studio in Art,1-4,Stdnt Opt,"Fall, spring, summer",,,,,,,Independent studio allows a student the opportunity to investigate special interests that are not treated in regularly scheduled courses. The student develops a plan of study to pursue under the supervision of a faculty member
