Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 2100,South Asian Diaspora,4,Stdnt Opt,Spring,,,ANTHR 2410,(CA-AS),(GHB),,"This interdisciplinary course (with an emphasis in anthropology) will introduce students to the multiple routes/roots, lived experiences, and imagined worlds of South Asians who have traveled to various lands at different historical moments spanning Fiji, South Africa, Mauritius, Britain, Malaysia, United States, Trinidad, and even within South Asia itself such as the Tamil-speaking population of Sri Lanka. The course will begin with the labor migrations of the 1830s and continue up to the present period. The primary exercise will be to compare and contrast the varied expressions of the South Asian Diaspora globally in order to critically evaluate this transnational identity. Thus, we will ask what, if any, are the ties that bind a fifth-generation Indo-Trinidadian whose ancestor came to the New World as an indentured laborer or ""coolie"" in the mid-19th century to labor in the cane fields, to a Pakistani medical doctor who migrated to the United States in the late 1980s. If Diaspora violates a sense of identity based on territorial integrity, then could ""culture"" serve as the basis for a shared identity?"
AAS 3750,Asian American Digital Lives,3,Stdnt Opt,Fall,,,"AMST 3755, ENGL 3960, VISST 3750",(CA-AS),,,"This course looks at the historical and shifting relationships between Asian Americans and (new) media technologies—from Yellow Peril, techno-Orientalist figurations of Asians as machines to the apparent success of Asian/American YouTubers. We will examine Asian American digital production, labor and performances within the broader contexts of imperialism, racism, migration, and the shifting parameters of Asian American studies. By situating ""new"" media productions and performances by Asian Americans within these contexts, this course attends to a few major questions: How does virtual Asianness engender modes of Asian Americanist critique? What are the relationships between Asian American digital media and neoliberalism/capitalism? Alternatively, how do these digital lives rupture or resist imperialist structures either in practice or theory? What futures and memories do online Asian American performances carve out?"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,Independent reading course in topics not covered in regularly scheduled courses. Students select a topic in consultation with the faculty member who has agreed to supervise the course work
AEM 1220,"Entrepreneurship in the Life Sciences: Past, Present, and Future",1,Stdnt Opt,Fall,,,,,,,"The purpose of AEM 1220 is to introduce students into the world of entrepreneurship in the life sciences through the eyes of experienced life science entrepreneurs. The class will be presented as a lecture series given by well-known and respected entrepreneurs and faculty. Topics to be discussed include: • Differences between scientific investigation and entrepreneurship. • The beginnings of life science entrepreneurship. • Balancing a scientific and entrepreneurial career. • Entrepreneurship in the health professions. • The role and value of life science incubators. • Intellectual property: What is it? And how to protect it! • Ethical issues in life science entrepreneurship. • What areas in the life sciences are ripe for entrepreneurial ventures. • Academia and entrepreneurship. Students will be graded on attendance, questions derived from the lectures and a brief book review"
AEM 1240,Rose Scholars Program,1,S/U NoAud,"Fall, spring",,,,,,,"The Rose Scholars program in an interdisciplinary course targeted at residents of Flora Rose House, but open to all. The program requires weekly participation in one of about five guided trips, workshops, discussions, lectures, and performances in social sciences, natural sciences, arts, humanities, and other fields. Participants reflect on their experiences with weekly digital media postings. The program is designed to introduce participants to the breadth of intellectual resources and activities on the Cornell campus and in the nearby community"
AEM 1600,The Business of Modern Medicine,1,Graded,Fall,,,,,,,"Medicine as practiced today is no longer just a profession. It has become a multi trillion dollar business. The purpose of this lecture series is to present the changes that have occurred in medical practice through the eyes of someone who has lived and practiced medicine during these tumultuous times. Students will gain a better understanding of how third-party payers, the government and other regulatory agencies, new technology, and entrepreneurship have impacted the medical profession and healthcare in general. Upon completion of the course, students will have the capacity to asses their future career paths not only from a scientific, but a business perspective"
AEM 2010,Spreadsheet Modeling for Management and Economics,3,GradeNoAud,"Fall, winter, spring, summer",,,,,,,"This course will be developed as a data-driven, model-based approach to decision-making. Most applications will rely on the standard array of Excel functionality but other platforms (e.g., Access, SQL, presentation software) may be employed. A unique feature of this course will be applications drawn from the diverse program areas of the Dyson School: management; international development/trade; environment/resource economics; and food/agricultural economics. Case material will be contributed by the companies from the DUAC. Key topics will include: Optimization (Solver), Data graphing, Financial modeling, Ethical/social dimensions of IT, Forecasting, Pivot tables, Exponential smoothing, and Simulation"
AEM 2100,Introductory Statistics,4,Graded,Fall,college algebra,,,(OPHLS-AG),,"Students may receive credit for only one course in the following group: AEM 2100, ENGRD 2700, HADM 2010, ILRST 2100/STSCI 2100, MATH 1710, PAM 2100, PAM 2101, PSYCH 3500, SOC 3010, STSCI 2150","Introduces statistical methods. Topics include the descriptive analysis of data, probability concepts and distributions, estimation and hypothesis testing, regression, and correlation analysis. Includes an introduction to Minitab, a statistical software package"
AEM 2110,The Business of Biofuels,1.5,Sat/Unsat,Fall (weeks 1-7),ECON 1110,,,,,,"After defining biofuels and identifying patterns of production, consumption and trade, several central issues on the economics and business of biofuels are addressed. These include an assessment of how effective biofuel policies are in meeting the various political goals, how biofuel policies established the crop-energy price link and hence the food-fuel trade-off, the unique contradictory and self-defeating effects of effects of combining mandates with different subsidies, the various surprising economic welfare effects of biofuel policies; and the various inconsistencies associated with binary sustainability standards, induced land use change and carbon leakages. The course will take a close look at the various factors that have created the rise of the biofuel industry and how the structure of crude oil refining, blending and retailing have consequently changed"
AEM 2200,Business Management and Organization,4,GradeNoAud,Fall,,,,,," HADM 1810 and ILRID 1700. In addition, due to an overlap in content, students will not receive credit for both AEM 1200, and AEM 2200, unless AEM 1200 was taken over the summer and before the student matriculated","Foundational course, meant to familiarize students with the use of core concepts in marketing, accounting, organizational design and management, entrepreneurship and strategy, teamwork, leadership, and ethics; as well as with the Dyson/AEM major and the business careers that may follow it. Significant writing and analytical components (both individual and team based case study analysis, evaluation of a U.S. publicly traded corporation)"
