Code,Title,Credits,Grading,Semesters Offered,Prerequisites,Corequisites,Crosslisted,Distribution Category,Breadth Requirement,Forbidden Overlap,Description
AAS 2130,Introduction to Asian American History,4,Stdnt Opt,Fall,,,"AMST 2640, HIST 2640",(HA-AS),,,"An introductory history of Chinese, Japanese, Asian Indians, Filipinos, and Koreans in the United States from the mid-nineteenth century to the 1990s. Major themes include racism and resistance, labor migration, community formation, imperialism, and struggles for equality"
AAS 2910,It's All Chinese to Me,4,Stdnt Opt,Fall,,,"AMST 2910, ENGL 2910",(CA-AS),,,"In her memoir Woman Warrior, Maxine Hong Kingston identified a conundrum familiar to many US-born children of Chinese immigrants when she asked: ""What is Chinese tradition and what is the movies?"" What is ""Chinese tradition""? Does it mean the same thing to people in China, Taiwan, Hong Kong, and Singapore, or to Chinese diasporic communities in North America?  Does ""Chineseness"" change across time and space? While there will be occasion to discuss what ""Chineseness"" means in different Asian contexts, this course will focus primarily on how ideas of ""China"" and ""Chineseness"" have been historically constructed by, for, and in the West—particularly in the US. Course materials include readings on the concept of ""Chineseness,"" Chinese American literature and film, and historical studies of East/West relations"
AAS 3470,Asian American Women's History,4,Stdnt Opt,Fall,,,"AMST 3470, FGSS 3470, HIST 3470",(CA-AS),,,"This course examines the experiences and representations of Asian American women from the mid-19th century to the present. It explores the lives and contexts of immigrant women and of women born in the U.S. Questions of identity and power are at the heart of this course as we investigate the intertwined nature of race, gender, and nation. We will also pay particular attention to the practice of history, seeking a better understanding of how scholars recover the history of a population rendered invisible by traditional methods and inquiries. Course materials include numerous primary sources in addition to scholarship from a variety of disciplines (history, literature, sociology, anthropology)"
AAS 3580,Twentieth Century Women Writers of Color in the Americas,4,Stdnt Opt,Fall,,,"AMST 3580, ENGL 3580, FGSS 3581",(LA-AS),,,"In this course, we'll be reading literature—primarily novels—produced by hemispheric American women writers of the mid- to late twentieth-century.  We will look at how these writings articulate concerns with language, home, mobility, and memory, and at how the work is informed by the specificities of gender, race, region, and class.  Readings may include work by Leslie Marmon Silko, Sandra Cisneros, Theresa Hak Kyung Cha, Jamaica Kincaid, Gwendolyn Brooks, Ann Petry, Fae Myenne Ng, Carolivia Herron, Helena Maria Viramontes, and Shani Mootoo"
AAS 4310,"Mind, Self, and Emotion",3,Graded,Spring,HD 1150 or HD 1170 or PSYCH 1101,,"COGST 4350, COGST 6390, HD 4310, HD 6390",(SBA-AS),,,"Offered to students who are currently conducting research or planning to do research in the near future on one of the three topics-memory, self, or emotion. The course examines current data and theories concerning the topics from a variety of perspectives and at multiple levels of analysis, particularly focusing on the interconnections among these fields of inquiry. The ""scale of observation"" is viewed as occurring within the person (brain mechanisms, including genetics), at the level of the person (content-goals, beliefs, desires, etc.), and between persons (relationships and group interaction-including culture)"
AAS 4950,Independent Study,1-4,Stdnt Opt,"Fall, spring",,,,,,,No description available
AEM 1106,FWS: Topics in Applied Economics and Management,3,Graded,Fall,,,,,,,The Dyson School offers first-year writing seminars on a wide range of Applied Economics and Management topics. Topics vary by section
AEM 1220,"Entrepreneurship in the Life Sciences: Past, Present, and Future",1,Stdnt Opt,Fall,,,,,,,"The purpose of AEM 1220 is to introduce students into the world of entrepreneurship in the life sciences through the eyes of experienced life science entrepreneurs. The class will be presented as a lecture series given by well-known and respected entrepreneurs and faculty. Topics to be discussed include: • Differences between scientific investigation and entrepreneurship. • The beginnings of life science entrepreneurship. • Balancing a scientific and entrepreneurial career. • Entrepreneurship in the health professions. • The role and value of life science incubators. • Intellectual property: What is it? And how to protect it! • Ethical issues in life science entrepreneurship. • What areas in the life sciences are ripe for entrepreneurial ventures. • Academia and entrepreneurship. Students will be graded on attendance, questions derived from the lectures and a brief book review"
AEM 1230,Foundations of Entrepreneurship and Business,2,Stdnt Opt,Fall,,,,,,,"Introductory course providing a sound base to both the understanding of entrepreneurial activity and possibilities and the study and practice of entrepreneurship at Cornell. Emphasis on the identification and elaboration of business opportunities (i.e., business ideas). Extensive use of IT-based learning and presentation tools"
AEM 1240,Rose Scholars Program,1,S/U NoAud,"Fall, spring",,,,,,,"The Rose Scholars program in an interdisciplinary course targeted at residents of Flora Rose House, but open to all. The program requires weekly participation in one of about five guided trips, workshops, discussions, lectures, and performances in social sciences, natural sciences, arts, humanities, and other fields. Participants reflect on their experiences with weekly digital media postings. The program is designed to introduce participants to the breadth of intellectual resources and activities on the Cornell campus and in the nearby community"
