Position,Title,Artist,Last Week,Peak Position,Weeks on Chart,Chart Date
1,Perfect,Ed Sheeran,1,1,16,12-30-2017
2,Rockstar,Post Malone Featuring 21 Savage,2,1,13,12-30-2017
3,Havana,Camila Cabello Featuring Young Thug,3,2,18,12-30-2017
4,Gucci Gang,Lil Pump,4,3,14,12-30-2017
5,Thunder,Imagine Dragons,5,4,33,12-30-2017
6,MotorSport,"Migos, Nicki Minaj & Cardi B",15,6,7,12-30-2017
7,Too Good At Goodbyes,Sam Smith,6,4,14,12-30-2017
8,Bad At Love,Halsey,8,8,15,12-30-2017
9,All I Want For Christmas Is You,Mariah Carey,11,9,22,12-30-2017
10,No Limit,G-Eazy Featuring A$AP Rocky & Cardi B,7,7,14,12-30-2017
11,Bodak Yellow (Money Moves),Cardi B,9,1,24,12-30-2017
12,Gummo,6ix9ine,13,12,5,12-30-2017
13,What Lovers Do,Maroon 5 Featuring SZA,10,9,16,12-30-2017
14,New Rules,Dua Lipa,17,14,20,12-30-2017
15,I Get The Bag,Gucci Mane Featuring Migos,14,11,17,12-30-2017
16,Let You Down,NF,22,16,9,12-30-2017
17,Feel It Still,Portugal. The Man,12,4,26,12-30-2017
18,Sorry Not Sorry,Demi Lovato,16,6,23,12-30-2017
19,I Fall Apart,Post Malone,23,19,12,12-30-2017
20,Mi Gente,J Balvin & Willy William Featuring Beyonce,18,3,24,12-30-2017
21,Wolves,Selena Gomez X Marshmello,20,20,8,12-30-2017
22,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,19,3,33,12-30-2017
23,Shape Of You,Ed Sheeran,25,1,49,12-30-2017
24,The Way Life Goes,Lil Uzi Vert Featuring Nicki Minaj,29,24,16,12-30-2017
25,Love.,Kendrick Lamar Featuring Zacari,27,18,25,12-30-2017
26,Him & I,G-Eazy & Halsey,21,21,2,12-30-2017
27,Bank Account,21 Savage,24,12,23,12-30-2017
28,Meant To Be,Bebe Rexha & Florida Georgia Line,31,28,8,12-30-2017
29,How Long,Charlie Puth,26,26,10,12-30-2017
30,Silence,Marshmello Featuring Khalid,33,30,18,12-30-2017
